YOS,Year 1,Year 2,Year 3,Year 4,Year 5
0 YOS,"$1,272,870",,,,
1 YOS,"$2,048,494","$2,150,917",,,
2 YOS,"$2,296,274","$2,411,090","$2,525,901",,
3 YOS,"$2,378,870","$2,497,812","$2,616,754","$2,735,698",
4 YOS,"$2,461,463","$2,584,539","$2,707,612","$2,830,685","$2,953,760"
5 YOS,"$2,667,947","$2,801,346","$2,934,742","$3,068,140","$3,201,538"
6 YOS,"$2,874,436","$3,018,158","$3,161,876","$3,305,598","$3,449,321"
7 YOS,"$3,080,921","$3,234,968","$3,389,014","$3,543,059","$3,697,107"
8 YOS,"$3,287,409","$3,451,779","$3,616,151","$3,780,524","$3,944,896"
9 YOS,"$3,303,774","$3,468,962","$3,634,152","$3,799,340","$3,964,529"
10 YOS,"$3,634,153","$3,815,861","$3,997,570","$4,179,277","$4,360,985"
