id,birthDate,birthPlace,collegeName,draftPickNum,draftRoundNum,draftTeamId,draftTeamName,draftYear,heightFeet,heightInches,highSchoolName,nbaDebut,positions,shootingHand,weightPounds,_source_team_ids
6ce605f3-7883-41ba-a704-a859a3f1c3ff,1999-03-03T00:00:00Z,"Edmonds, Wash",Gonzaga,15,1,30,Washington Wizards,2021,6,6,King's in Shoreline Washington,2021-10-22T00:00:00Z,Small Forward,Right,224,1
60dc612e-0bb5-4b68-b28e-eaeac0b5ebb8,1991-09-19T00:00:00Z,"Canton, Ohio",Lehigh,10,1,25,Portland Trail Blazers,2013,6,3,Glen Oak in Canton Ohio,2014-01-08T00:00:00Z,Shooting Guard|Point Guard,Right,190,1
cac24db0-1913-41a8-a64d-58a4d109a137,2002-10-06T00:00:00Z,"Goma, Democratic Republic of the Congo",,7,1,10,Golden State Warriors,2021,6,7,,2021-10-30T00:00:00Z,Power Forward|Small Forward,Right,225,1
39825547-0be8-45e5-ae39-9b37d7970d44,1998-09-02T00:00:00Z,"Toronto, Ontario",Virginia Tech,17,1,3,Brooklyn Nets,2019,6,5,Hamilton Heights Christian in Chattanooga Tennessee,2019-10-22T00:00:00Z,Shooting Guard,Right,205,1
c365e05f-2c43-45f4-982f-7fc8bf703969,2003-06-30T00:00:00Z,"St. Louis, Missouri",Iowa State,0,0,,,0,6,4,,2026-02-07T00:00:00Z,Point Guard|Shooting Guard,Right,200,1
104a3ef6-0023-466a-aa67-a6a2b06e9051,2002-03-18T00:00:00Z,"West Palm Beach, Florida",Providence,13,1,26,Sacramento Kings,2024,6,2,,2025-01-03T00:00:00Z,Point Guard,Right,195,1
e1f31c8f-7423-4724-a1f7-fa910aa684b6,2004-04-20T00:00:00Z,"Dallas, Texas",St. John's,23,1,1,Atlanta Hawks,2026,6,9,Garland in Garland Texas,,Power Forward,Right,245,1
8666de9b-fb04-450d-94d3-b41939d5003d,2000-12-11T00:00:00Z,"Los Angeles, California",USC,6,1,1,Atlanta Hawks,2020,6,10,Chino Hills in Chino Hills California,2021-01-15T00:00:00Z,Center,Right,240,1
b1429258-7e91-4516-91ba-d1bf9828d7f3,2001-03-30T00:00:00Z,Pla,Baylor,0,0,,,0,6,1,,2025-01-10T00:00:00Z,Point Guard,Right,180,1
c35faaa5-e411-4bee-a10b-6575ee84941a,2002-11-09T00:00:00Z,"Dakar, Senegal",Washington State,39,2,4,Charlotte Hornets,2023,6,11,Prolific Prep in Napa California,2023-10-29T00:00:00Z,Power Forward,Right,210,1
35c103c8-4d0a-4f4f-a356-c6adb8a1c059,2005-10-05T00:00:00Z,"Atlanta, Georgia",Georgia,23,1,12,Indiana Pacers,2025,6,10,,2025-10-24T00:00:00Z,Power Forward,Left,220,1
015040a6-c221-463e-ac37-b41518c7f14a,1995-10-25T00:00:00Z,"E Malvern, Australia",Saint Mary's,0,0,,,0,6,11,Geelong Grammar School in Corio Australia,2021-10-20T00:00:00Z,Center,Right,255,1
1f777bb2-8ab6-4e07-b08f-bd047380a420,2001-12-18T00:00:00Z,"Wausau, Wiscons",Duke,20,1,1,Atlanta Hawks,2021,6,8,,2021-10-21T00:00:00Z,Small Forward|Power Forward,Right,219,1
26b38800-8a9e-4ef3-a658-ff9d99ce906a,2003-03-17T00:00:00Z,"Bendigo, Australia",,8,1,19,New Orleans Pelicans,2022,6,7,Australian Institute of Sport in Canberra Australia,2022-10-19T00:00:00Z,Point Guard|Shooting Guard,Right,199,1
ecb70f31-89ab-4cd5-8207-d7290ea1476c,1999-01-02T00:00:00Z,"Greensboro, North Carol",Maryland,55,2,21,Oklahoma City Thunder,2021,6,5,,2021-11-14T00:00:00Z,Shooting Guard,Right,190,1
25582618-0b10-4b31-bcab-04590ff88624,2005-04-08T00:00:00Z,"Malaga, Spa",,1,1,1,Atlanta Hawks,2024,6,8,,2024-10-23T00:00:00Z,Small Forward,Right,200,1
e521ead5-a6f8-4935-b09b-4236cd822453,1992-12-17T00:00:00Z,"Freeport, Bahamas",Oklahoma,6,1,19,New Orleans Pelicans,2016,6,4,Sunrise Christian Academy in Bel Aire Kansas,2016-10-26T00:00:00Z,Shooting Guard|Small Forward,Right,220,1
499ae655-d863-4f3e-8cb4-c474e393ea36,2007-01-03T00:00:00Z,"Newport News, Virg",Houston,8,1,1,Atlanta Hawks,2026,6,4,Brennan in San Antonio Texas,,Point Guard,Right,183,1
170c3147-6446-4c44-8895-aac6d927a2e1,1997-12-08T00:00:00Z,"Green Bay, Wiscons",Virginia,0,0,,,0,6,7,Stevens Point Area in Stevens Point Wisconsin,2021-11-20T00:00:00Z,Small Forward|Power Forward,Right,217,2
6ab1d010-d2c0-4b83-b2d4-330c917cb7b6,1999-07-13T00:00:00Z,"Lisbon, Portugal",Utah State University,39,2,26,Sacramento Kings,2021,7,0,,2021-12-17T00:00:00Z,Center,Right,248,2
6a2523c3-8437-4860-9d20-85aeda10df8d,1998-01-28T00:00:00Z,Tualat,Oregon,26,1,2,Boston Celtics,2020,6,1,West Linn in West Linn Oregon,2020-12-23T00:00:00Z,Point Guard|Shooting Guard,Right,195,2
8394dc38-59c5-4dc4-9cf4-837a949d9a50,1998-03-03T00:00:00Z,"St. Louis, Missouri",Duke,3,1,2,Boston Celtics,2017,6,8,Chaminade College Prep in St. Louis Missouri,2017-10-17T00:00:00Z,Small Forward|Power Forward,Right,210,2
2155bfc4-c28c-47e5-836d-57109c7ea399,2006-02-05T00:00:00Z,"Madrid, Spa",,28,1,2,Boston Celtics,2025,6,6,,2025-10-24T00:00:00Z,Small Forward|Shooting Guard,Right,200,2
49aa37ce-e77d-41da-8a48-0efe0578ee8d,1998-04-01T00:00:00Z,"Pensacola, Florida",Western Kentucky,36,2,20,New York Knicks,2018,7,0,Chalmette in Chalmette Louisiana,2018-10-17T00:00:00Z,Center,Right,240,2
cd9289ce-402d-4110-99d3-9d35b235aafa,1998-12-27T00:00:00Z,Wash,Iowa,52,2,9,Detroit Pistons,2021,6,10,Maret in Washington District of Columbia,2021-10-23T00:00:00Z,Center,Right,243,2
